Camera ID,Location Name,Camera Status,Turn on Date,Camera Manufacturer,ATD Location ID,Landmark,Signal Engineer Area,Council District,Jurisdiction,Location Type,Primary St Segment ID,Cross St Segment ID,Primary Street Block,Primary Street,PRIMARY_ST_AKA,Cross Street Block,Cross Street,CROSS_ST_AKA,COA Intersection ID,Modified Date,Published Screenshots,Screenshot Address,Funding,ID,Location
29,SH 71  / ROSS RD,REMOVED,,Advidia,LOC16-007030,,,,AUSTIN 2 MILE ETJ,ROADWAY,,,4436,SH 71 ,,4501, ROSS RD,,5168587,07/18/2023 09:33:00 PM,,https://cctv.austinmobility.io/image/29.jpg,None Identified,582a41a15e304c982be5c5b4,POINT (-97.609533 30.186287)
58, KOENIG LN / LAMAR BLVD,TURNED_ON,,Advidia,LOC16-000020,,NORTHWEST,"4, 7",AUSTIN FULL PURPOSE,ROADWAY,,,600, KOENIG LN,,5630, LAMAR BLVD,,5159119,10/10/2022 05:11:00 PM,,https://cctv.austinmobility.io/image/58.jpg,None Identified,582a41a15e304c982be5c57a,POINT (-97.726334 30.325943)
254, BRAKER LN / RESEARCH BLVD SVRD,TURNED_ON,,Advidia,LOC16-003975,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,4620, BRAKER LN,,10826, RESEARCH BLVD SVRD,,5155883,05/23/2024 04:37:00 PM,,https://cctv.austinmobility.io/image/254.jpg,None Identified,582a419c5e304c982be5c3f2,POINT (-97.746285 30.400536)
271, CAPITAL OF TEXAS HWY / PASCAL LN,TURNED_ON,,Wisenet,LOC16-004265,,NORTHWEST,"10, 8",AUSTIN FULL PURPOSE,ROADWAY,,,1000, CAPITAL OF TEXAS HWY,,2, PASCAL LN,,5148102,08/05/2024 08:55:00 PM,,https://cctv.austinmobility.io/image/271.jpg,None Identified,582a419b5e304c982be5c3d0,POINT (-97.82605 30.315455)
722, CONGRESS AVE / RIVERSIDE DR,DESIRED,,,LOC16-000685,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,300, CONGRESS AVE,,101, RIVERSIDE DR,,5156395,11/30/2023 09:46:00 PM,,https://cctv.austinmobility.io/image/722.jpg,None Identified,5d6eb0c2587fa1001338ea2a,POINT (-97.746872 30.257143)
439, CONGRESS AVE / ALPINE RD,TURNED_ON,,Wisenet,LOC16-006045,,SOUTH,3,AUSTIN FULL PURPOSE,ROADWAY,,,3600, CONGRESS AVE,,100, ALPINE RD,,,08/10/2023 07:05:00 PM,,https://cctv.austinmobility.io/image/439.jpg,1/4 Cent,591a10a320eacf2d16669c1e,POINT (-97.76165 30.227178)
1049, MOPAC EXPY / LA CROSSE AVE,VOID,,,LOC16-003845,,SOUTH,8,AUSTIN FULL PURPOSE,ROADWAY,,,10500, MOPAC EXPY,,5301, LA CROSSE AVE,,5144408,11/30/2023 09:08:00 PM,,https://cctv.austinmobility.io/image/1049.jpg,None Identified,5f8da8b84e4035067602f655,POINT (-97.87455 30.191059)
630,US 290 HWY / CONVICT HILL RD,DESIRED,,,LOC16-003515,,SOUTH,8,AUSTIN FULL PURPOSE,ROADWAY,,,7300,US 290 HWY,,6901, CONVICT HILL RD,,5144159,11/30/2023 09:35:00 PM,,https://cctv.austinmobility.io/image/630.jpg,None Identified,5d3f3f896432a00012b28edb,POINT (-97.879295 30.230784)
1289, BURNET RD / PENNY LN,TURNED_ON,01/12/2022,Advidia,LOC16-005345,,NORTHWEST,"4, 7",AUSTIN FULL PURPOSE,ROADWAY,,,8400, BURNET RD,,2401, PENNY LN,,5158697,04/19/2023 04:23:00 PM,,https://cctv.austinmobility.io/image/1289.jpg,None Identified,61df6d7abe9743001ef0de64,POINT (-97.728636 30.364498)
1426,200 BLK TRINITY ST,TURNED_ON,03/06/2024,Wisenet,LOC24-023025,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,200, TRINITY ST,,,,,,03/07/2024 09:14:00 PM,,https://cctv.austinmobility.io/image/1426.jpg,None Identified,65e8d35ea4ee1900290bc463,POINT (-97.740502 30.263874)
